,count,rel_hor_dist_obj,rel_vert_dist_obj,rel_front_dist_wall,rel_right_dist_wall,rel_left_dist_wall,rel_front_dist_body,rel_right_dist_body,rel_left_dist_body,snake_pos_x,snake_pos_y,snake_dir,snake_next_dir,score,snake_next_move,rel_front_dist_min,rel_right_dist_min,rel_left_dist_min
0,0,280,510,520,420,50,,,,110,50,RIGHT,RIGHT,0,FRONT,520,420,50
1,1,280,500,510,420,50,,,,120,50,RIGHT,RIGHT,0,FRONT,510,420,50
2,2,280,490,500,420,50,,,,130,50,RIGHT,RIGHT,0,FRONT,500,420,50
3,3,280,480,490,420,50,,,,140,50,RIGHT,RIGHT,0,FRONT,490,420,50
4,4,280,470,480,420,50,,,,150,50,RIGHT,RIGHT,0,FRONT,480,420,50
5,5,280,460,470,420,50,,,,160,50,RIGHT,RIGHT,0,FRONT,470,420,50
6,6,280,450,460,420,50,,,,170,50,RIGHT,RIGHT,0,FRONT,460,420,50
7,7,280,440,450,420,50,,,,180,50,RIGHT,RIGHT,0,FRONT,450,420,50
8,8,280,430,440,420,50,,,,190,50,RIGHT,RIGHT,0,FRONT,440,420,50
9,9,280,420,430,420,50,,,,200,50,RIGHT,RIGHT,0,FRONT,430,420,50
10,10,280,410,420,420,50,,,,210,50,RIGHT,RIGHT,0,FRONT,420,420,50
11,11,280,400,410,420,50,,,,220,50,RIGHT,RIGHT,0,FRONT,410,420,50
12,12,280,390,400,420,50,,,,230,50,RIGHT,RIGHT,0,FRONT,400,420,50
13,13,280,380,390,420,50,,,,240,50,RIGHT,RIGHT,0,FRONT,390,420,50
14,14,280,370,380,420,50,,,,250,50,RIGHT,RIGHT,0,FRONT,380,420,50
15,15,280,360,370,420,50,,,,260,50,RIGHT,RIGHT,0,FRONT,370,420,50
16,16,280,350,360,420,50,,,,270,50,RIGHT,RIGHT,0,FRONT,360,420,50
17,17,280,340,350,420,50,,,,280,50,RIGHT,RIGHT,0,FRONT,350,420,50
18,18,280,330,340,420,50,,,,290,50,RIGHT,RIGHT,0,FRONT,340,420,50
19,19,280,320,330,420,50,,,,300,50,RIGHT,RIGHT,0,FRONT,330,420,50
20,20,280,310,320,420,50,,,,310,50,RIGHT,RIGHT,0,FRONT,320,420,50
21,21,280,300,310,420,50,,,,320,50,RIGHT,RIGHT,0,FRONT,310,420,50
22,22,280,290,300,420,50,,,,330,50,RIGHT,RIGHT,0,FRONT,300,420,50
23,23,280,280,290,420,50,,,,340,50,RIGHT,RIGHT,0,FRONT,290,420,50
24,24,280,270,280,420,50,,,,350,50,RIGHT,RIGHT,0,FRONT,280,420,50
25,25,280,260,270,420,50,,,,360,50,RIGHT,RIGHT,0,FRONT,270,420,50
26,26,280,250,260,420,50,,,,370,50,RIGHT,RIGHT,0,FRONT,260,420,50
27,27,280,240,250,420,50,,,,380,50,RIGHT,RIGHT,0,FRONT,250,420,50
28,28,280,230,240,420,50,,,,390,50,RIGHT,RIGHT,0,FRONT,240,420,50
29,29,280,220,230,420,50,,,,400,50,RIGHT,RIGHT,0,FRONT,230,420,50
30,30,280,210,220,420,50,,,,410,50,RIGHT,RIGHT,0,FRONT,220,420,50
31,31,280,200,210,420,50,,,,420,50,RIGHT,RIGHT,0,FRONT,210,420,50
32,32,280,190,200,420,50,,,,430,50,RIGHT,RIGHT,0,FRONT,200,420,50
33,33,280,180,190,420,50,,,,440,50,RIGHT,RIGHT,0,FRONT,190,420,50
34,34,280,170,180,420,50,,,,450,50,RIGHT,RIGHT,0,FRONT,180,420,50
35,35,280,160,170,420,50,,,,460,50,RIGHT,RIGHT,0,FRONT,170,420,50
36,36,280,150,160,420,50,,,,470,50,RIGHT,RIGHT,0,FRONT,160,420,50
37,37,280,140,150,420,50,,,,480,50,RIGHT,RIGHT,0,FRONT,150,420,50
38,38,280,130,140,420,50,,,,490,50,RIGHT,RIGHT,0,FRONT,140,420,50
39,39,280,120,130,420,50,,,,500,50,RIGHT,RIGHT,0,FRONT,130,420,50
40,40,280,110,120,420,50,,,,510,50,RIGHT,RIGHT,0,FRONT,120,420,50
41,41,280,100,110,420,50,,,,520,50,RIGHT,RIGHT,0,FRONT,110,420,50
42,42,280,90,100,420,50,,,,530,50,RIGHT,RIGHT,0,FRONT,100,420,50
43,43,280,80,90,420,50,,,,540,50,RIGHT,RIGHT,0,FRONT,90,420,50
44,44,280,70,80,420,50,,,,550,50,RIGHT,RIGHT,0,FRONT,80,420,50
45,45,280,60,70,420,50,,,,560,50,RIGHT,RIGHT,0,FRONT,70,420,50
46,46,280,50,60,420,50,,,,570,50,RIGHT,RIGHT,0,FRONT,60,420,50
47,47,280,40,50,420,50,,,,580,50,RIGHT,RIGHT,0,FRONT,50,420,50
48,48,280,30,40,420,50,,,,590,50,RIGHT,RIGHT,0,FRONT,40,420,50
49,49,280,20,30,420,50,,,,600,50,RIGHT,RIGHT,0,FRONT,30,420,50
50,50,280,10,20,420,50,,,,610,50,RIGHT,RIGHT,0,FRONT,20,420,50
51,51,280,0,10,420,50,,,,620,50,RIGHT,DOWN,0,RIGHT,10,420,50
52,52,0,270,410,620,10,,,,620,60,DOWN,DOWN,0,FRONT,410,620,10
53,53,0,260,400,620,10,,,,620,70,DOWN,DOWN,0,FRONT,400,620,10
54,54,0,250,390,620,10,,,,620,80,DOWN,DOWN,0,FRONT,390,620,10
55,55,0,240,380,620,10,,,,620,90,DOWN,DOWN,0,FRONT,380,620,10
56,56,0,230,370,620,10,,,,620,100,DOWN,DOWN,0,FRONT,370,620,10
57,57,0,220,360,620,10,,,,620,110,DOWN,DOWN,0,FRONT,360,620,10
